Book Identity ID,Inventory ID,Title,Author,Format,Size MB,Pages,Text Quality,Domain,Likely Hearth Nodes,Clean Status,Source Role,Canonical Copy,Duplicate Group,Duplicate Of Inventory ID,Canonical Local File,Next Action,Local File
book-id-027,book-015,"Guitar Music Theory. Ear Training Manual for Musicians (1986, Navi)",,pdf,2.1,94,text-based / extraction likely good,Theory / Fretboard,Study; Knowing,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Guitar Music Theory. Ear Training Manual for Musicians (1986, Navi) - libgen.li.pdf",Intake triage needed,"/Users/alessandralove/Downloads/Guitar Resources/ Guitar Music Theory. Ear Training Manual for Musicians (1986, Navi) - libgen.li.pdf"
book-id-028,book-016,Musicians Institute - Guitar Licktionary (Hal-Leonard),Hill D,pdf,7.7,72,text-based / extraction likely good,Unclassified,To Review,To Review,Needs human review,Yes,,,/Users/alessandralove/Downloads/Guitar Resources/ Hill D - Musicians Institute - Guitar Licktionary (Hal-Leonard) - libgen.li.pdf,Intake triage needed,/Users/alessandralove/Downloads/Guitar Resources/ Hill D - Musicians Institute - Guitar Licktionary (Hal-Leonard) - libgen.li.pdf
book-id-029,book-017,"Super Chops Jazz Guitar Technique in 20 Weeks (1978, Cherry Lane Music)",Howard Mancel Roberts,pdf,4.1,83,scanned / OCR needed,Style / Genre,Doing; Practice; Create,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Howard Mancel Roberts - Super Chops_ Jazz Guitar Technique in 20 Weeks (1978, Cherry Lane Music) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Howard Mancel Roberts - Super Chops_ Jazz Guitar Technique in 20 Weeks (1978, Cherry Lane Music) - libgen.li.pdf"
book-id-030,book-018,"How To Play Jazz and Improvise Guitar Book (2000, Jamey Aebersold Jazz Inc)",Jamey Aebersold,pdf,6.6,74,scanned / OCR needed,Style / Genre,Create; Doing,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Jamey Aebersold - How To Play Jazz and Improvise Guitar Book (2000, Jamey Aebersold Jazz Inc) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Jamey Aebersold - How To Play Jazz and Improvise Guitar Book (2000, Jamey Aebersold Jazz Inc) - libgen.li.pdf"
book-id-031,book-056,"Principles of Correct Practice for Guitar (1999, Jamey World, Inc.)",Jamie Andreas,pdf,4.8,89,scanned / OCR needed,Unclassified,Foundation; Practice; Doing; Hearth,Active Source,Curriculum spine source,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Jamie Andreas - Principles of Correct Practice for Guitar (1999, Jamey World, Inc.) - libgen.li.pdf",Add to OCR priority review,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Jamie Andreas - Principles of Correct Practice for Guitar (1999, Jamey World, Inc.) - libgen.li.pdf"
book-id-032,book-047,"Advanced Scale Concepts and Licks for Guitar Private Lessons (1999, Musicians Institute Press)",Jean Marc Belkadi,pdf,10.9,44,scanned / OCR needed,Unclassified,Mastery,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/[Musicians Institute Press] Jean Marc Belkadi - Advanced Scale Concepts and Licks for Guitar_ Private Lessons (1999, Musicians Institute Press) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/[Musicians Institute Press] Jean Marc Belkadi - Advanced Scale Concepts and Licks for Guitar_ Private Lessons (1999, Musicians Institute Press) - libgen.li.pdf"
book-id-033,book-019,"All Blues Soloing for Jazz Guitar (1999, Mel Bay Publications,U.S.)",Jim Ferguson,pdf,60.9,96,scanned / OCR needed,Style / Genre,Create; Doing,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Jim Ferguson - All Blues Soloing for Jazz Guitar (1999, Mel Bay Publications,U.S.) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Jim Ferguson - All Blues Soloing for Jazz Guitar (1999, Mel Bay Publications,U.S.) - libgen.li.pdf"
book-id-034,book-020,"Beginning Jazz Guitar The Complete Jazz Guitar Method Beginning-intermediate-mastering Chord Melody-mastering Improvisation (1995, Alfred Publishing Co., Inc.)",Jody Fisher,pdf,51.7,98,scanned / OCR needed,Style / Genre,Study; Knowing; Create; Doing; Mastery,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Beginning Jazz Guitar_ The Complete Jazz Guitar Method_ Beginning-intermediate-mastering Chord_Melody-mastering Improvisation (1995, Alfred Publishing Co., Inc.) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Beginning Jazz Guitar_ The Complete Jazz Guitar Method_ Beginning-intermediate-mastering Chord_Melody-mastering Improvisation (1995, Alfred Publishing Co., Inc.) - libgen.li.pdf"
book-id-035,book-021,Jazz Guitar 2- Intermediate (Alfred),Jody Fisher,pdf,58.8,98,scanned / OCR needed,Style / Genre,Create; Doing,OCR Later,Potential source after OCR,Yes,,,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 2- Intermediate (Alfred) - libgen.li.pdf,OCR only after active sources are mapped,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 2- Intermediate (Alfred) - libgen.li.pdf
book-id-036,book-022,Jazz Guitar 3 - Mastering Chord Melody (Alfred),Jody Fisher,pdf,8.7,63,scanned / OCR needed,Style / Genre,Study; Knowing; Create; Doing; Mastery,OCR Later,Potential source after OCR,Yes,,,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 3 - Mastering Chord Melody (Alfred) - libgen.li.pdf,OCR only after active sources are mapped,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 3 - Mastering Chord Melody (Alfred) - libgen.li.pdf
book-id-037,book-023,Jazz Guitar 4 - Mastering Improvisation (Alfred),Jody Fisher,pdf,8.3,63,scanned / OCR needed,Style / Genre,Create; Doing; Mastery,OCR Later,Potential source after OCR,Yes,,,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 4 - Mastering Improvisation (Alfred) - libgen.li.pdf,OCR only after active sources are mapped,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 4 - Mastering Improvisation (Alfred) - libgen.li.pdf
book-id-038,book-024,"Joe Satriani - Guitar Secrets (Guitar Educational) (1993, Cherry Lane Music)",Joe Satriani,pdf,1.8,39,scanned / OCR needed,Unclassified,To Review,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Joe Satriani - Joe Satriani - Guitar Secrets (Guitar Educational) (1993, Cherry Lane Music) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Joe Satriani - Joe Satriani - Guitar Secrets (Guitar Educational) (1993, Cherry Lane Music) - libgen.li.pdf"
book-id-039,book-043,"Blues You Can Use (Blues You Can Use) (1995, Hal Leonard Corporation)","John Ganapes, John N Ganapes",pdf,12.4,63,scanned / OCR needed,Style / Genre,Create; Doing,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/[Blues You Can Use] John Ganapes, John N Ganapes - Blues You Can Use (Blues You Can Use) (1995, Hal Leonard Corporation) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/[Blues You Can Use] John Ganapes, John N Ganapes - Blues You Can Use (Blues You Can Use) (1995, Hal Leonard Corporation) - libgen.li.pdf"
book-id-040,book-025,"Introduction to Gypsy Jazz Guitar John Jorgenson (Book CD DVD Set) (2004, Flatpicking Guitar Magazine)",John Jorgenson,pdf,1.0,3,text-based / extraction likely good,Style / Genre,Create; Doing,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ John Jorgenson - Introduction to Gypsy Jazz Guitar_ John Jorgenson (Book_CD_DVD Set) (2004, Flatpicking Guitar Magazine) - libgen.li.pdf",Intake triage needed,"/Users/alessandralove/Downloads/Guitar Resources/ John Jorgenson - Introduction to Gypsy Jazz Guitar_ John Jorgenson (Book_CD_DVD Set) (2004, Flatpicking Guitar Magazine) - libgen.li.pdf"
