Level,Discipline,Title Raw,URL,Source,Source PDF Page,Status,Notes
Level 5,Chords and harmony,[ 58]TURN Simple Chord Progressions into FUSION & PROGRESSIVE ROCK – Guitar lesson,https://youtu.be/bpNVYwAoR60,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 5,Technique and improvisation,[5] 5 levels of the pentatonic scale - Zero to Hero (Chapter: Choosing the right notes),https://www.youtube.com/watch?v=7KsZgWXj_TQ,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 5,Technique and improvisation,[ 48] QJAMTRACKS Nobody knew a scale could sound like this! (wide interval scale  patterns),https://youtu.be/r5JR7ScupQ0,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 5,Arpeggios,[67] Triad pairs over the ii V I,https://www.youtube.com/watch?v=XPKHjbTkEcA,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 5,Scales,[13] ALL ABOUT the secrets of HARMONIC MINOR Scale!,https://www.youtube.com/watch?v=D7zXXTeNev8,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 5,Theory,[14] All About The SECONDARY DOMINANT,https://www.youtube.com/watch?v=vTUz4eMcSVI,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 5,Theory,[ 52] QJAMRRACKS_ Get CLASSICAL with CIRCLE Chord Progressions!,https://youtu.be/B9gJq4fSPyg,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Chords and harmony,[15] BLUES Chord Substitutions: JAZZ BLUES,https://www.youtube.com/watch?v=MLUigFm4NrY,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Chords and harmony,[16] Creative CADENCES For Better Compositions! – Crystal Clear,https://www.youtube.com/watch?v=AuQ9W0x_KHc,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Chords and harmony,[46] How to create PROG ROCK – Ingredients & recipes (Chapter: common note chord changes),https://youtu.be/aM1FyU-mXKw,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Chords and harmony,[ 51] CHANGE KEYS smooth & easy with COMMON/PIVOT CHORD modulation,https://youtu.be/K_S_tewvUb4,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Scales,[17] Modes Explained Effective and Crystal Clear,https://www.youtube.com/watch?v=QT4p_BzfToU,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Scales,[ 18] Guitar Tutorial - The DOMINANT PENTATONIC scale,https://www.youtube.com/watch?v=dD0D0iuhOlI,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Scales,[19] The Super Blues Scale – crystal clear,https://www.youtube.com/watch?v=F3oy4dK1gm0,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Scales,[ 50] Daily PRACTICE ROUTINES and EXERCISES for SCALES & MODES,https://youtu.be/Yn7IGvj6obM,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Scales,[ 60] ALL ABOUT the sound of the PHRYGIAN MODE!,https://youtu.be/Kgm8Cv4QIXM,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Scales,[61] ALL ABOUT the Dreamy L YDIAN MODE and more,https://youtu.be/W-59jd-crZs,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Scales,[62] ALL ABOUT the MIXOL YDIAN MODE and more,https://youtu.be/eKVkwM0UfSY,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Technique and improvisation,[20] SUPERIMPOSING major and minor arpeggios,https://www.youtube.com/watch?v=-NbnZgjVluY,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Technique and improvisation,[5] 5 levels of the pentatonic scale - Zero to Hero • (Chapter: superimposing),https://www.youtube.com/watch?v=7KsZgWXj_TQ,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Technique and improvisation,[49] SIMPLE 4-note ARPEGGIOS for SOPHISTICATED sounds!,https://youtu.be/y67zO15AiTs,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Technique and improvisation,[53] Joe Satriani’s PITCH AXIS THEORY – Crystal Clear!,https://youtu.be/B9gJq4fSPyg,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Technique and improvisation,[55] Unlock the Secrets of Modes: Unleash MODAL ARPEGGIOS (part 1),https://youtu.be/4pbnBtkkwrU,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Technique and improvisation,[56] Unlock the Secrets of Modes: Unleash MODAL ARPEGGIOS (Part 2),https://youtu.be/Ze1Bz8wmaVM,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Arpeggios,[21] Instant Level Up! with ADDED 9 CHORDS & ARPEGGIOS,https://www.youtube.com/watch?v=GPm2Jh9t_mM,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Arpeggios,[ 22] 8 (very) special WIDE INTERVAL Licks and Arpeggios!,https://youtu.be/5JVs6I-0JX8,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Arpeggios,[ 49] SIMPLE 4-note ARPEGGIOS for SOPHISTICATED sounds!,https://youtu.be/y67zO15AiTs,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Arpeggios,Theory • [ 23] QJAMTRACK_ TRITONE SUBSTITUTIONS – *Crystal Clear* - Progressions & Solos,https://www.youtube.com/watch?v=Zhf6lTR_nqI,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Arpeggios,[ 24] Superimposing Pentatonic scales,|https://www.youtube.com/watch?v=7oKoiklz-WU,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Arpeggios,"[ 25] Brightness and Darkness in Chords, Scales and Modes – DBQ (The Dorian Brightness Quotient)",https://www.youtube.com/watch?v=vMDK96VF_fA,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Arpeggios,[ 26] Cinematic “GOD” Chord Progressions!....with ONL Y 2 chords? (Chromatic mediants ),https://www.youtube.com/watch?v=kdXJz41Hl_k,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 6,Arpeggios,[ 46] How to create PROG ROCK – Ingredients & recipes (Chapter: Chromatic mediants),https://youtu.be/aM1FyU-mXKw,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Chords and harmony,[27] Diminished Portal Chord – The modulation beast!,https://youtu.be/C-dsp7cYhK4,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Chords and harmony,[ 65] How to write a MODAL chord PROGRESSION (that sounds modal),https://youtu.be/_7hMEfWTWpM,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Chords and harmony,[ 66]Steve Vai Magic Chords (The Lydian Mode with One Chord Shape),https://youtu.be/SRyfU6DOLIM,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Scales,[28] THE Awesome! MELODIC MINOR scale (ROCK-FUSION-JAZZ),https://youtu.be/qKHnU7KG174,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Scales,[ 29]  WHOLE TONE SCALE – Theory – Applications – Patterns,https://youtu.be/yWcwm2I1RFE,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Scales,[ 30]  The Diminished scale and arpeggios nailed – Crystal Clear Tutorial,https://youtu.be/Unv1Ri5EKUQ,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Scales,[50] Daily PRACTICE ROUTINES and EXERCISES for SCALES & MODES,https://youtu.be/Yn7IGvj6obM,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Scales,[63] All About The Dark Phrygian Dominant Scale,https://youtu.be/m27D1p7qfQk,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Technique and improvisation,[31]  MODES: super EASY with adapted PENTATONIC scales!,https://youtu.be/zv3X-5WzXRw,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Technique and improvisation,[32]  Improvising over 7-CHORDS – Part 1: Maj7 - Crystal Clear,https://youtu.be/V5U3hGqYtWg,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Technique and improvisation,[33]  Improvising over 7-CHORDS – Part 2: Min7 - Crystal Clear,https://youtu.be/6oxdhst03Q8,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Technique and improvisation,[34]  Improvising over 7-CHORDS – Part 3: DOM7 chords using scales & modes,https://youtu.be/yu4S41xIor0,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Technique and improvisation,[ 35]  MODES of the HARMONIC MINOR scale – Ultimate Guide,https://youtu.be/Pvp8tWDgHTI,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Arpeggios,[36] Scale arpeggios – You never played scales like this!,https://youtu.be/HhN8qJfjmrU,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Theory,[37] MODAL INTERCHANGE Explained Crystal Clear – Next Level Chord Progressions,https://youtu.be/9LxJPaqh51o,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 7,Theory,[38]  MODES of the HARMONIC MINOR scale – Ultimate Guide,https://youtu.be/Pvp8tWDgHTI,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Chords and harmony,[39]  Quartal Chords & Quartal Harmony – Crystal Clear Tutorial Guitar!,https://youtu.be/rZeaVr-mO4U,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Scales,[40]  The Harmonic Major Scale - Guitar lesson – Crystal Clear,https://youtu.be/Yv_TuqGqclk,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Scales,[41]  The DOUBLE Harmonic MAJOR Scale – The Jack of all DARK Trades!,https://youtu.be/hNHAdf8XOik,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Scales,"[ 42]  EXOTIC Pentatonic scales for ROCK, FUSION & MODES -  Crystal Clear!",https://youtu.be/b5f1yyRdMyk,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Scales,[ 54] All about the L YDIAN DOMINANT (Lydian b7) SCALE – Crystal Clear!,https://youtu.be/rn-0uOW1Zrs,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Scales,[ 57] ALTERED SCALE: Jazzify YOUR Guitar SOLOS - CRYSTAL CLEAR Tutorial,https://youtu.be/UIUSs8dtux8,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Technique and improvisation,[43]  Secrets of OUTSIDE PLAYING – Ultimate Guide – Crystal Clear,https://youtu.be/zuZs1EuO9-k,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Technique and improvisation,[ 49] SIMPLE 4-note ARPEGGIOS for SOPHISTICATED sounds!,https://youtu.be/y67zO15AiTs,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Theory,[44]  MODES of the MELODIC MINOR scale – Ultimate Guide,https://youtu.be/C1R5cQEw5_o,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Theory,[ 40]  The Harmonic Major Scale - Guitar lesson – Crystal Clear,https://youtu.be/Yv_TuqGqclk,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Theory,[ 45]  The DOUBLE Harmonic MAJOR Scale – The Jack of all DARK Trades!,https://youtu.be/hNHAdf8XOik,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 8,Theory,[39]  Quartal Chords & Quartal Harmony – Crystal Clear Tutorial Guitar!,https://youtu.be/rZeaVr-mO4U,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
