book_identity_id,slug,title,author,format,text_quality,topic_category,skill_nodes,source_role,source_status,canonical_inventory_id,canonical_local_file,duplicate_file_count,notes
book-id-011,c-nelson-modal-and-harmonized-modal-scales-for-the-spanish-guitar,Modal and Harmonized Modal Scales for the Spanish Guitar,C. Nelson,PDF,text-based / extraction likely good,Theory / Fretboard,Study; Knowing,Supporting source for selected lessons or roadmap items,Supporting Reference,book-006,/Users/alessandralove/Downloads/Guitar Resources/ C. Nelson - Modal and Harmonized Modal Scales for the Spanish Guitar - libgen.li.pdf,0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-012,charles-kim-teach-yourself-visually-guitar-2006-visual,"Teach Yourself VISUALLY Guitar (2006, Visual)",Charles Kim,PDF,text-based / extraction likely good,Beginner / Reference,Foundation; Knowing,Supporting source for selected lessons or roadmap items,Supporting Reference,book-054,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Charles Kim - Teach Yourself VISUALLY Guitar (2006, Visual) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-013,chris-buono-m-audio-guide-for-the-recording-guitarist-2008-course-technology,"M-Audio guide for the recording guitarist (2008, Course Technology)",Chris Buono,PDF,text-based / extraction likely good,Recording / Production,Create; Doing,Reference shelf / private library,Private Library,book-007,"/Users/alessandralove/Downloads/Guitar Resources/ Chris Buono - M-Audio guide for the recording guitarist (2008, Course Technology) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-014,christopher-parkening-jack-marshall-david-brandon-the-christopher-parkening-guitar-method-volume-1-guitar-technique-1997,The Christopher Parkening Guitar Method - Volume 1 Guitar Technique (1997),"Christopher Parkening, Jack Marshall, David Brandon",PDF,scanned / OCR needed,Classical / Technique,Doing; Practice,Potential source after OCR,OCR Later,book-008,"/Users/alessandralove/Downloads/Guitar Resources/ Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 1_ Guitar Technique (1997) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-015,christopher-parkening-jack-marshall-david-brandon-the-christopher-parkening-guitar-method-volume-2-guitar-technique-1998,The Christopher Parkening Guitar Method - Volume 2 Guitar Technique (1998),"Christopher Parkening, Jack Marshall, David Brandon",PDF,scanned / OCR needed,Classical / Technique,Doing; Practice,Potential source after OCR,OCR Later,book-009,"/Users/alessandralove/Downloads/Guitar Resources/ Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 2_ Guitar Technique (1998) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-016,cynthia-blanchard-acree-making-music-and-enriching-lives-a-guide-for-all-music-teachers-music-for-life-2007-indiana-university-press,"Making Music and Enriching Lives A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press)",Cynthia Blanchard Acree,PDF,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Supporting source for selected lessons or roadmap items,Supporting Reference,book-071,"/Users/alessandralove/Downloads/LEARNING/ Cynthia Blanchard Acree - Making Music and Enriching Lives_ A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press) - libgen.li.pdf",1,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-017,daniel-j-levitin-this-is-your-brain-on-music-the-science-of-a-human-obsession-2007-plume-penguin-audio,"This is your brain on music the science of a human obsession (2007, Plume Penguin Audio)",Daniel J Levitin,PDF,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Curriculum spine source,Active Source,book-055,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Daniel J Levitin - This is your brain on music_ the science of a human obsession (2007, Plume_Penguin Audio) - libgen.li.pdf",1,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-018,david-hamburger-acoustic-guitar-slide-basics-acoustic-guitar-magazine-s-private-lessons-2001-string-letter-publishing,"Acoustic Guitar Slide Basics (Acoustic Guitar Magazine's Private Lessons) (2001, String Letter Publishing)",David Hamburger,PDF,scanned / OCR needed,Style / Genre,Create; Doing,Potential source after OCR,OCR Later,book-011,"/Users/alessandralove/Downloads/Guitar Resources/ David Hamburger - Acoustic Guitar Slide Basics (Acoustic Guitar Magazine's Private Lessons) (2001, String Letter Publishing) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-019,donat-paul-bossa-nova-for-guitar,BOSSA NOVA FOR GUITAR,"Donat, paul",PDF,text-based / extraction likely good,Style / Genre,Create; Doing,Supporting source for selected lessons or roadmap items,Supporting Reference,book-012,"/Users/alessandralove/Downloads/Guitar Resources/ Donat, paul - BOSSA NOVA FOR GUITAR - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-020,e-booklet-roadmap-for-learning-guitar-revison-2024-11-07-1,E-booklet Roadmap for learning Guitar revison 2024 11 07 (1),,PDF,text-based / extraction likely good,Unclassified,To Review,Needs human review,To Review,book-067,/Users/alessandralove/Downloads/Guitar Resources/Done/E-booklet Roadmap for learning Guitar_revison_2024_11_07 (1).pdf,0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-021,english-handbook-and-study-guide-a-comprehensive-english-reference-book-beryl-lutrin-marcelle-pincus-2004-berlut-books,"English Handbook and Study Guide A Comprehensive English Reference Book{Beryl Lutrin Marcelle Pincus}(2004, Berlut Books)",,PDF,text-based / extraction likely good,Learning Science / Music Cognition,Foundation; Knowing; Study; Hearth,Reference shelf / private library,Private Library,book-078,"/Users/alessandralove/Downloads/LEARNING/English Handbook and Study Guide_ A Comprehensive English Reference Book{Beryl Lutrin_ Marcelle Pincus}(2004, Berlut Books){107205711} libgen.li.pdf",1,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-022,fred-sokolow-fred-sokolow-the-roots-of-slide-guitar-guitar-collection-1999-hal-leonard-corporation,"The Roots of Slide Guitar (Guitar Collection) (1999, Hal Leonard Corporation)","Fred Sokolow, Fred Sokolow",PDF,scanned / OCR needed,Style / Genre,Create; Doing,Potential source after OCR,OCR Later,book-045,"/Users/alessandralove/Downloads/Guitar Resources/[Guitar Collection] Fred Sokolow, Fred Sokolow - The Roots of Slide Guitar (Guitar Collection) (1999, Hal Leonard Corporation) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-023,fred-sokolow-tim-emmons-fretboard-roadmaps-2005-hal-leonard-corporation,"Fretboard Roadmaps (2005, Hal Leonard Corporation)","Fred Sokolow, Tim Emmons",PDF,scanned / OCR needed,Theory / Fretboard,Study; Knowing,Potential source after OCR,OCR Later,book-044,"/Users/alessandralove/Downloads/Guitar Resources/[Fretboard Roadmaps] Fred Sokolow, Tim Emmons - Fretboard Roadmaps (2005, Hal Leonard Corporation) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-024,fred-sokolow-fretboard-roadmaps-the-essential-guitar-patterns-that-all-the-pros-know-and-use-1993-hal-leonard-corporation,"Fretboard Roadmaps The Essential Guitar Patterns That All the Pros Know and Use (1993, Hal Leonard Corporation)",Fred Sokolow,PDF,scanned / OCR needed,Theory / Fretboard,Study; Knowing,Potential source after OCR,OCR Later,book-046,"/Users/alessandralove/Downloads/Guitar Resources/[Guitar Techniques] Fred Sokolow - Fretboard Roadmaps_ The Essential Guitar Patterns That All the Pros Know and Use (1993, Hal Leonard Corporation) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-025,frederick-ariel-the-classical-guitar-frederick-noad-guitar-anthology-1976-amsco-publications,"The Classical Guitar (Frederick Noad Guitar Anthology) (1976, Amsco Publications)",Frederick Ariel,PDF,scanned / OCR needed,Classical / Technique,Doing; Practice,Potential source after OCR,OCR Later,book-013,"/Users/alessandralove/Downloads/Guitar Resources/ Frederick Ariel - The Classical Guitar (Frederick Noad Guitar Anthology) (1976, Amsco Publications) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-026,glenn-weiser-celtic-guitar-encyclopedia-fingerstyle-guitar-edition,Celtic Guitar Encyclopedia - Fingerstyle Guitar Edition,Glenn Weiser,PDF,scanned / OCR needed,Style / Genre,Create; Doing,Potential source after OCR,OCR Later,book-014,/Users/alessandralove/Downloads/Guitar Resources/ Glenn Weiser - Celtic Guitar Encyclopedia - Fingerstyle Guitar Edition - libgen.li.pdf,0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-027,guitar-music-theory-ear-training-manual-for-musicians-1986-navi,"Guitar Music Theory. Ear Training Manual for Musicians (1986, Navi)",,PDF,text-based / extraction likely good,Theory / Fretboard,Study; Knowing,Supporting source for selected lessons or roadmap items,Supporting Reference,book-015,"/Users/alessandralove/Downloads/Guitar Resources/ Guitar Music Theory. Ear Training Manual for Musicians (1986, Navi) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-028,hill-d-musicians-institute-guitar-licktionary-hal-leonard,Musicians Institute - Guitar Licktionary (Hal-Leonard),Hill D,PDF,text-based / extraction likely good,Unclassified,To Review,Needs human review,To Review,book-016,/Users/alessandralove/Downloads/Guitar Resources/ Hill D - Musicians Institute - Guitar Licktionary (Hal-Leonard) - libgen.li.pdf,0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-029,howard-mancel-roberts-super-chops-jazz-guitar-technique-in-20-weeks-1978-cherry-lane-music,"Super Chops Jazz Guitar Technique in 20 Weeks (1978, Cherry Lane Music)",Howard Mancel Roberts,PDF,scanned / OCR needed,Style / Genre,Doing; Practice; Create,Potential source after OCR,OCR Later,book-017,"/Users/alessandralove/Downloads/Guitar Resources/ Howard Mancel Roberts - Super Chops_ Jazz Guitar Technique in 20 Weeks (1978, Cherry Lane Music) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-030,jamey-aebersold-how-to-play-jazz-and-improvise-guitar-book-2000-jamey-aebersold-jazz-inc,"How To Play Jazz and Improvise Guitar Book (2000, Jamey Aebersold Jazz Inc)",Jamey Aebersold,PDF,scanned / OCR needed,Style / Genre,Create; Doing,Potential source after OCR,OCR Later,book-018,"/Users/alessandralove/Downloads/Guitar Resources/ Jamey Aebersold - How To Play Jazz and Improvise Guitar Book (2000, Jamey Aebersold Jazz Inc) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-031,jamie-andreas-principles-of-correct-practice-for-guitar-1999-jamey-world-inc,"Principles of Correct Practice for Guitar (1999, Jamey World, Inc.)",Jamie Andreas,PDF,scanned / OCR needed,Unclassified,Foundation; Practice; Doing; Hearth,Curriculum spine source,Active Source,book-056,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Jamie Andreas - Principles of Correct Practice for Guitar (1999, Jamey World, Inc.) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-032,jean-marc-belkadi-advanced-scale-concepts-and-licks-for-guitar-private-lessons-1999-musicians-institute-press,"Advanced Scale Concepts and Licks for Guitar Private Lessons (1999, Musicians Institute Press)",Jean Marc Belkadi,PDF,scanned / OCR needed,Unclassified,Mastery,Potential source after OCR,OCR Later,book-047,"/Users/alessandralove/Downloads/Guitar Resources/[Musicians Institute Press] Jean Marc Belkadi - Advanced Scale Concepts and Licks for Guitar_ Private Lessons (1999, Musicians Institute Press) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-033,jim-ferguson-all-blues-soloing-for-jazz-guitar-1999-mel-bay-publications-u-s,"All Blues Soloing for Jazz Guitar (1999, Mel Bay Publications,U.S.)",Jim Ferguson,PDF,scanned / OCR needed,Style / Genre,Create; Doing,Potential source after OCR,OCR Later,book-019,"/Users/alessandralove/Downloads/Guitar Resources/ Jim Ferguson - All Blues Soloing for Jazz Guitar (1999, Mel Bay Publications,U.S.) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-034,jody-fisher-beginning-jazz-guitar-the-complete-jazz-guitar-method-beginning-intermediate-mastering-chord-melody-mastering-improvisation-1995-alfred-publishing-c,"Beginning Jazz Guitar The Complete Jazz Guitar Method Beginning-intermediate-mastering Chord Melody-mastering Improvisation (1995, Alfred Publishing Co., Inc.)",Jody Fisher,PDF,scanned / OCR needed,Style / Genre,Study; Knowing; Create; Doing; Mastery,Potential source after OCR,OCR Later,book-020,"/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Beginning Jazz Guitar_ The Complete Jazz Guitar Method_ Beginning-intermediate-mastering Chord_Melody-mastering Improvisation (1995, Alfred Publishing Co., Inc.) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-035,jody-fisher-jazz-guitar-2-intermediate-alfred,Jazz Guitar 2- Intermediate (Alfred),Jody Fisher,PDF,scanned / OCR needed,Style / Genre,Create; Doing,Potential source after OCR,OCR Later,book-021,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 2- Intermediate (Alfred) - libgen.li.pdf,0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-036,jody-fisher-jazz-guitar-3-mastering-chord-melody-alfred,Jazz Guitar 3 - Mastering Chord Melody (Alfred),Jody Fisher,PDF,scanned / OCR needed,Style / Genre,Study; Knowing; Create; Doing; Mastery,Potential source after OCR,OCR Later,book-022,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 3 - Mastering Chord Melody (Alfred) - libgen.li.pdf,0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-037,jody-fisher-jazz-guitar-4-mastering-improvisation-alfred,Jazz Guitar 4 - Mastering Improvisation (Alfred),Jody Fisher,PDF,scanned / OCR needed,Style / Genre,Create; Doing; Mastery,Potential source after OCR,OCR Later,book-023,/Users/alessandralove/Downloads/Guitar Resources/ Jody Fisher - Jazz Guitar 4 - Mastering Improvisation (Alfred) - libgen.li.pdf,0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-038,joe-satriani-joe-satriani-guitar-secrets-guitar-educational-1993-cherry-lane-music,"Joe Satriani - Guitar Secrets (Guitar Educational) (1993, Cherry Lane Music)",Joe Satriani,PDF,scanned / OCR needed,Unclassified,To Review,Potential source after OCR,OCR Later,book-024,"/Users/alessandralove/Downloads/Guitar Resources/ Joe Satriani - Joe Satriani - Guitar Secrets (Guitar Educational) (1993, Cherry Lane Music) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-039,john-ganapes-john-n-ganapes-blues-you-can-use-blues-you-can-use-1995-hal-leonard-corporation,"Blues You Can Use (Blues You Can Use) (1995, Hal Leonard Corporation)","John Ganapes, John N Ganapes",PDF,scanned / OCR needed,Style / Genre,Create; Doing,Potential source after OCR,OCR Later,book-043,"/Users/alessandralove/Downloads/Guitar Resources/[Blues You Can Use] John Ganapes, John N Ganapes - Blues You Can Use (Blues You Can Use) (1995, Hal Leonard Corporation) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-040,john-jorgenson-introduction-to-gypsy-jazz-guitar-john-jorgenson-book-cd-dvd-set-2004-flatpicking-guitar-magazine,"Introduction to Gypsy Jazz Guitar John Jorgenson (Book CD DVD Set) (2004, Flatpicking Guitar Magazine)",John Jorgenson,PDF,text-based / extraction likely good,Style / Genre,Create; Doing,Supporting source for selected lessons or roadmap items,Supporting Reference,book-025,"/Users/alessandralove/Downloads/Guitar Resources/ John Jorgenson - Introduction to Gypsy Jazz Guitar_ John Jorgenson (Book_CD_DVD Set) (2004, Flatpicking Guitar Magazine) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-041,k-anders-ericsson-neil-charness-paul-j-feltovich-robert-r-the-cambridge-handbook-of-expertise-and-expert-performance-2006,The Cambridge Handbook of Expertise and Expert Performance (2006),"K. Anders Ericsson, Neil Charness, Paul J. Feltovich, Robert R.",PDF,text-based / extraction likely good,Learning Science / Music Cognition,Hearth; Practice; Mastery; Study,Curriculum spine source,Active Source,book-074,"/Users/alessandralove/Downloads/LEARNING/ K. Anders Ericsson, Neil Charness, Paul J. Feltovich, Robert R. - The Cambridge Handbook of Expertise and Expert Performance (2006) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-042,k-anders-ericsson-development-of-professional-expertise-toward-measurement-of-expert-performance-and-design-of-optimal-learning-environments-2009-cambridge-univ,"Development of Professional Expertise Toward Measurement of Expert Performance and Design of Optimal Learning Environments (2009, Cambridge University Press)",K. Anders Ericsson,PDF,text-based / extraction likely good,Learning Science / Music Cognition,Hearth; Practice; Mastery; Study,Curriculum spine source,Active Source,book-073,"/Users/alessandralove/Downloads/LEARNING/ K. Anders Ericsson - Development of Professional Expertise_ Toward Measurement of Expert Performance and Design of Optimal Learning Environments (2009, Cambridge University Press) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-043,kofi-agawu-music-as-discourse-semiotic-adventures-in-romantic-music-oxford-studies-in-music-theory-2008-oxford-university-press-usa,"Music as Discourse Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA)",Kofi Agawu,PDF,text-based / extraction likely good,Create / Composition,Study; Knowing; Create; Doing,Supporting source for selected lessons or roadmap items,Supporting Reference,book-075,"/Users/alessandralove/Downloads/LEARNING/ Kofi Agawu - Music as Discourse_ Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA) - libgen.li.pdf",1,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-044,larry-baione-berklee-practice-method-guitar-2001-berklee-press-publications,"Berklee Practice Method Guitar (2001, Berklee Press Publications)",Larry Baione,PDF,scanned / OCR needed,Unclassified,Doing; Practice,Potential source after OCR,OCR Later,book-027,"/Users/alessandralove/Downloads/Guitar Resources/ Larry Baione) - Berklee Practice Method_ Guitar (2001, Berklee Press Publications) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-045,marangraphics-development-group-maran-illustrated-guitar-2005-thomson-course-technology-ptr,"Maran Illustrated Guitar (2005, Thomson Course Technology PTR)",maranGraphics Development Group,PDF,scanned / OCR needed,Unclassified,To Review,Potential source after OCR,OCR Later,book-028,"/Users/alessandralove/Downloads/Guitar Resources/ maranGraphics Development Group - Maran Illustrated Guitar (2005, Thomson Course Technology PTR) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-046,marc-schonbrun-the-everything-music-theory-book-a-complete-guide-to-taking-your-understanding-of-music-to-the-next-level-2012-adams-media,"The Everything Music Theory Book A Complete Guide to Taking Your Understanding of Music to the Next Level (2012, Adams Media)",Marc Schonbrun,EPUB,EPUB / extraction likely good,Theory / Fretboard,Study; Knowing,Curriculum spine source,Active Source,book-057,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Marc Schonbrun - The Everything Music Theory Book_ A Complete Guide to Taking Your Understanding of Music to the Next Level (2012, Adams Media) - libgen.li.epub",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-047,marc-schonbrun-the-everything-rock-and-blues-guitar-book-from-chords-to-scales-and-licks-to-tricks-all-you-need-to-play-like-the-greats-2003-adams-media,"The Everything Rock & Blues Guitar Book From Chords to Scales and Licks to Tricks, All You Need to Play Like the Greats (2003, Adams Media)",Marc Schonbrun,PDF,mixed / partial text,Style / Genre,Study; Knowing; Create; Doing,Supporting source for selected lessons or roadmap items,Supporting Reference,book-065,"/Users/alessandralove/Downloads/Guitar Resources/Done/[Everything Series] Marc Schonbrun - The Everything Rock & Blues Guitar Book_ From Chords to Scales and Licks to Tricks, All You Need to Play Like the Greats (2003, Adams Media) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-048,mark-phillips-jon-chappell-guitar-exercises-for-dummies-2009-wiley-publishing,"Guitar Exercises for Dummies (2009, Wiley Publishing)","Mark Phillips, Jon Chappell",PDF,text-based / extraction likely good,Technique / Practice,Foundation; Knowing; Doing; Practice,Supporting source for selected lessons or roadmap items,Supporting Reference,book-066,"/Users/alessandralove/Downloads/Guitar Resources/Done/[For Dummies ] Mark Phillips, Jon Chappell - Guitar Exercises for Dummies (2009, Wiley Publishing) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-049,michael-p-wolfsohn-music-theory-for-guitar-an-introduction-to-the-essentials-guitar-techniques-1992-hal-leonard-corporation,"Music Theory for Guitar An Introduction to the Essentials (Guitar Techniques) (1992, Hal Leonard Corporation)",Michael P. Wolfsohn,PDF,scanned / OCR needed,Theory / Fretboard,Doing; Practice; Study; Knowing,Potential source after OCR,OCR Later,book-029,"/Users/alessandralove/Downloads/Guitar Resources/ Michael P. Wolfsohn - Music Theory for Guitar_ An Introduction to the Essentials (Guitar Techniques) (1992, Hal Leonard Corporation) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-050,mike-senior-mixing-secrets-for-the-small-studio-2011-focal-press,"Mixing Secrets for the small studio (2011, Focal Press)",Mike Senior,PDF,text-based / extraction likely good,Recording / Production,Create; Doing,Reference shelf / private library,Private Library,book-030,"/Users/alessandralove/Downloads/Guitar Resources/ Mike Senior - Mixing Secrets for the small studio (2011, Focal Press) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
