unit_id,unit_title,step_order,step_type,step_title,teaching_purpose,content_brief,action_renderer_key,ask_correct_choice,ask_choices,source_anchor,visible_citation,own_condition
FND-004,The Three Learning Barriers,2,cards,Absence Of Mass,Define first barrier,"Card explains that abstract ideas need physical or visible examples.",,,,"Hubbard study-tech concept plus Hearth design notes","Source note: Hearth learning-design adaptation.",Learner can identify mass gradient or misunderstood word
FND-004,The Three Learning Barriers,3,cards,Too Steep A Gradient,Define second barrier,"Card explains that a step can be too large even if the learner is capable.",,,,"Hubbard study-tech concept plus Hearth design notes","Source note: Hearth learning-design adaptation.",Learner can identify mass gradient or misunderstood word
FND-004,The Three Learning Barriers,4,cards,Misunderstood Word,Define third barrier,"Card explains that one unclear word can break everything after it.",,,,"Hubbard study-tech concept plus Hearth design notes","Source note: Hearth learning-design adaptation.",Learner can identify mass gradient or misunderstood word
FND-004,The Three Learning Barriers,5,action,Barrier Sort,Apply diagnostic,"Learner sorts three scenarios into mass gradient or misunderstood word.",foundation.learning_barrier_sort,,,"Hubbard study-tech concept plus Hearth design notes",,Learner can identify mass gradient or misunderstood word
FND-004,The Three Learning Barriers,6,ask,Unclear Word Check,Check barrier understanding,"Ask what to check first when a word is unclear.",,The word itself,"Try harder | Skip the lesson | The word itself","Hubbard study-tech concept plus Hearth design notes",,Learner can identify mass gradient or misunderstood word
FND-004,The Three Learning Barriers,7,end,Three Checks,Own diagnostic,"Learner owns the three checks: object step word.",,,,"Hubbard study-tech concept plus Hearth design notes",,Learner can identify mass gradient or misunderstood word
FND-005,What To Do When You Get Stuck,1,speak,Stuck Is Information,Normalize recovery,"Guide explains that stuckness is a signal not a verdict.",,,,"Jamie Andreas; Ericsson",,Learner can choose word check physical example or smaller step
FND-005,What To Do When You Get Stuck,2,cards,Find The Word,Teach recovery move,"Card shows how to pause for the unclear term.",,,,"Hearth design notes; source notes pending",,Learner can choose word check physical example or smaller step
FND-005,What To Do When You Get Stuck,3,cards,Make It Physical,Teach recovery move,"Card shows how to turn an abstract idea into a diagram object sound or action.",,,,"Jamie Andreas; Hearth design notes","Source note: Jamie Andreas, Principles of Correct Practice for Guitar.",Learner can choose word check physical example or smaller step
FND-005,What To Do When You Get Stuck,4,cards,Take A Smaller Step,Teach recovery move,"Card shows how to reduce the gradient rather than quitting.",,,,"Ericsson deliberate practice research; Hearth design notes","Source note: Ericsson, deliberate practice research.",Learner can choose word check physical example or smaller step
FND-005,What To Do When You Get Stuck,5,action,Recovery Chooser,Apply recovery,"Learner chooses the best recovery for unclear word no physical example or too-large step.",foundation.stuck_recovery,,,"Jamie Andreas; Ericsson; Hearth design notes",,Learner can choose word check physical example or smaller step
FND-005,What To Do When You Get Stuck,6,ask,Too Fast Recovery,Check recovery choice,"Ask which recovery move fits a lesson that suddenly feels too fast.",,Take a smaller step,"Take a smaller step | Ignore the feeling | Jump to a harder lesson","Jamie Andreas; Ericsson; Hearth design notes",,Learner can choose word check physical example or smaller step
FND-005,What To Do When You Get Stuck,7,end,Recovery Path Owned,Own recovery path,"Learner confirms they can recover by checking word object or step size.",,,,"Jamie Andreas; Ericsson; Hearth design notes",,Learner can choose word check physical example or smaller step
